BEGINDATE;CLOSED;CLOSEDATE;COMPANY_ID;ID;OPPORTUNITY;PROBABILITY
2016-04-01T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;7366;99330.00;0
2016-04-12T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;7382;36000.00;0
2016-04-12T03:00:00+03:00;Y;2016-11-11T03:00:00+03:00;813;7384;0.00;0
2016-04-15T03:00:00+03:00;Y;2016-04-18T03:00:00+03:00;813;7396;0.00;0
2016-04-17T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;7398;221837.00;0
2016-04-18T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;7404;21447.00;0
2016-04-18T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;7406;4860.00;0
2016-04-29T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;7444;4050.00;0
2016-05-01T03:00:00+03:00;Y;2016-08-04T03:00:00+03:00;813;7460;900.00;0
2016-05-01T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;7462;136026.00;0
2016-05-01T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;7464;12447.00;0
2016-06-01T03:00:00+03:00;Y;2016-08-31T03:00:00+03:00;813;7816;900.00;0
2016-06-01T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;813;7824;21790.00;0
2016-06-01T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;7826;18612.00;0
